epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.428,0.9079,3.77295,1.03951,0.758,0.15787,0.40892,0.31803,0.91335,3.55234,1.11397,0.0703125,0.00329861,0.00329861
2,781.205,0.89753,2.25359,1.0228,0.43317,0.63562,0.53077,0.40147,0.938,2.3846,1.16095,0.0402468,0.00656629,0.00656629
3,1186.66,0.99988,2.09615,1.07624,0.53421,0.65252,0.55329,0.42506,1.08155,2.72814,1.24456,0.0101152,0.00976797,0.00976797
4,1593.22,1.005,1.9166,1.08871,0.63509,0.70977,0.66159,0.50628,1.10579,2.36124,1.25247,0.009703,0.009703,0.009703
5,1987.48,0.98779,1.71801,1.09763,0.5959,0.65128,0.60192,0.43975,1.16476,2.43702,1.36163,0.009604,0.009604,0.009604
6,2344.03,0.95335,1.55084,1.08361,0.5772,0.75587,0.62915,0.50454,1.0012,2.04128,1.21697,0.009505,0.009505,0.009505
7,2774.99,0.95033,1.48222,1.08436,0.52623,0.73863,0.6025,0.4732,1.01854,2.24057,1.22227,0.009406,0.009406,0.009406
8,3184.6,0.91628,1.36056,1.06318,0.6502,0.76506,0.69539,0.55432,1.00963,1.61085,1.20963,0.009307,0.009307,0.009307
9,3596.31,0.90739,1.275,1.05315,0.65372,0.77371,0.75238,0.60423,0.9654,1.41202,1.22192,0.009208,0.009208,0.009208
10,4006.79,0.88469,1.21068,1.05456,0.60623,0.77123,0.72073,0.55939,1.01956,1.56002,1.24568,0.009109,0.009109,0.009109
11,4413.34,0.86591,1.1349,1.02292,0.68994,0.76549,0.72955,0.57955,0.92834,1.37555,1.14719,0.00901,0.00901,0.00901
12,4822.47,0.84221,1.08518,1.02335,0.68978,0.80867,0.72806,0.57839,0.92853,1.32542,1.15131,0.008911,0.008911,0.008911
13,5231.43,0.83786,1.06877,1.0233,0.67799,0.82442,0.74016,0.58827,0.99001,1.91242,1.2134,0.008812,0.008812,0.008812
14,5640.4,0.82636,0.99564,1.02606,0.80617,0.73712,0.77497,0.60994,0.97849,1.20927,1.20137,0.008713,0.008713,0.008713
